Feature,Importance
categorical__Blood_Flow_Low,0.2571157854720504
remainder__SpO2,0.25480841130936166
remainder__Capillary_Refill_Time,0.19102605839464087
categorical__Blood_Flow_Moderate,0.07535410712025721
categorical__Blood_Flow_Normal,0.04079391905388084
remainder__Surgery_Duration,0.03042090291801564
categorical__Diabetes_No,0.028850396560286835
remainder__Perfusion_Index,0.02883401980270164
categorical__Smoking_Yes,0.0248829310820785
categorical__Smoking_No,0.022780603757282386
categorical__Diabetes_Yes,0.01990324931016163
remainder__Tissue_Temperature,0.016084135472141537
remainder__Age,0.0027120131763933323
remainder__BMI,0.0018739584340750626
remainder__Blood_Pressure_Sys,0.0014129783775854764
remainder__Heart_Rate,0.0013477081034782572
categorical__Gender_Male,0.0002377084324702215
categorical__Flap_Type_Fibula,0.00023021211156567866
categorical__Gender_Female,0.0002085112507634659
categorical__Hypertension_No,0.00020620235317147308
categorical__Flap_Type_Latissimus Dorsi,0.00019688456072967345
categorical__Hypertension_Yes,0.00019457976364247197
categorical__Flap_Type_Radial Forearm,0.00018106934452384783
categorical__Flap_Type_ALT,0.00017539846542824822
categorical__Flap_Type_DIEP,0.00016825537331383259
